age,gender,marital_status,income,education_level,employment_status,credit_score,vehicle_age,vehicle_type,vehicle_price,policy_tenure,premium_amount,no_of_claims,accident_severity,region,fraudulent_flag,agent_rating,claim_amount,claim_approved
56,Male,Married,693467,Postgraduate,Employed,666,3,Bike,2206869,6,39598,3,Low,South,0,4,77321,0
69,Female,Married,1971714,High School,Employed,852,4,SUV,2168268,6,58840,3,Medium,East,0,1,67351,0
46,Female,Single,1831302,High School,Unemployed,527,13,Bike,1829232,5,51202,5,Low,South,0,5,125279,0
32,Female,Married,510541,Graduate,Employed,470,4,Car,1139557,5,45169,4,High,East,0,4,31231,0
60,Male,Married,905870,High School,Unemployed,796,1,SUV,2133419,8,74427,4,Medium,South,0,4,50160,0
25,Female,Divorced,1678216,Graduate,Self-Employed,544,5,Bike,2471906,9,66261,1,Low,North,0,5,155390,0
38,Female,Married,1166963,Graduate,Self-Employed,692,10,Truck,795189,8,49619,1,Low,East,0,3,66875,1
56,Female,Married,1217258,High School,Unemployed,823,4,Bike,2223490,8,18746,1,Low,North,0,2,27411,0
36,Male,Single,513419,High School,Employed,597,0,Truck,1307147,3,37067,4,Low,South,0,5,25731,0
40,Male,Single,1826898,Postgraduate,Retired,756,8,Car,333050,6,4115,2,Medium,East,0,4,5011,1
28,Female,Divorced,1972314,High School,Unemployed,736,6,SUV,1275941,9,78183,0,Low,South,0,1,127350,0
28,Female,Divorced,871377,High School,Retired,645,13,Car,1071658,5,52737,4,Low,South,0,2,35835,0
41,Female,Single,279372,Graduate,Unemployed,777,10,SUV,1904515,4,43958,2,Medium,North,0,5,83456,1
53,Male,Married,1328298,Graduate,Unemployed,484,13,Truck,1039626,9,7975,4,Low,West,0,4,14323,0
57,Male,Married,1807296,Graduate,Employed,571,13,Bike,344215,5,61030,0,Medium,West,1,3,101319,0
41,Male,Married,1664549,Graduate,Employed,760,1,SUV,1273679,6,21707,1,Low,South,0,2,27104,0
20,Female,Married,1557908,High School,Employed,398,5,Truck,1315708,7,6409,2,Medium,North,0,2,8070,0
39,Male,Single,755404,High School,Employed,733,13,Car,2193477,8,73128,1,High,South,0,4,163805,0
19,Female,Single,1678508,Graduate,Self-Employed,772,14,Bike,2359795,3,61711,0,Low,East,0,5,35043,1
41,Female,Married,520882,Postgraduate,Employed,568,0,SUV,1999813,1,17621,4,Low,East,0,2,35618,0
